Peptide,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2
Peptide_001,1978.00,1686.33,2325.50,2055.67,1248.00,3043.33,1218.00,4136.00,6294.67,4087.33,1962.00,3787.33,2253.00,880.33,3677.00,2258.67,2855.67,2054.33,1567.67,793.67,1992.00,286.00,1502.33,1865.67,1111.33,1729.00,1226.33,2654.33,1959.00,1327.00,2523.67
Peptide_002,2011.78,2106.11,3117.11,1897.11,1185.44,4741.44,1413.44,5012.11,7628.78,4305.11,2201.78,4562.44,2338.78,870.78,4233.78,2422.44,3080.11,2026.11,1882.44,742.11,2007.44,322.44,1470.44,1772.78,1164.44,1833.44,1310.11,2788.11,2348.78,1681.11,2744.11
Peptide_003,1878.44,1764.44,2958.44,2005.11,1268.78,3226.11,1244.78,4055.11,6125.44,4138.44,2112.11,4361.11,2724.11,855.78,3502.11,2418.78,3172.11,1919.78,1947.78,815.78,1841.11,305.11,1164.11,1578.44,1211.78,1860.11,1256.11,2368.78,3184.44,958.44,2607.11
Peptide_004,1983.61,2027.28,2798.28,1742.94,1163.28,2577.94,1232.94,3313.94,4887.94,4874.94,2252.94,4619.61,3704.61,930.61,5004.28,2396.61,3029.61,1813.94,1840.28,783.28,1891.94,327.61,2039.28,2353.28,1266.94,1862.61,1318.28,3686.28,3644.28,1716.94,3566.61
Peptide_005,2628.72,2801.72,4240.39,2395.72,1582.06,9814.06,1957.39,7496.06,12404.72,5169.72,2838.06,5812.39,2755.39,1166.39,5589.06,2547.72,4509.72,2957.72,2930.72,935.39,2259.39,440.39,2939.39,1967.39,1517.39,2482.06,1793.39,3508.06,4655.72,1660.39,3804.06
Peptide_006,855.94,887.61,1512.94,1081.28,632.28,1029.28,620.28,1671.94,2239.28,2059.61,1057.28,2364.28,977.28,376.28,1672.61,1232.61,1547.94,1113.28,1394.94,426.28,857.94,188.61,951.94,883.44,648.28,940.61,636.94,1193.28,1805.94,389.28,1025.61
Peptide_007,1679.44,1000.44,2098.44,1585.44,848.44,1260.11,1109.44,2956.11,3263.11,3467.78,1502.44,3217.44,1065.44,415.44,1606.11,1354.44,2029.11,1437.78,3083.44,564.11,1154.44,252.78,1881.11,1536.44,1187.11,2708.11,740.44,1441.11,1811.11,577.44,1378.44
Peptide_008,3102.72,1562.39,3022.72,2593.39,1122.39,1644.06,1783.39,4943.39,3940.06,6909.39,1991.06,3907.06,1602.72,759.06,1905.39,2159.06,2777.72,1975.72,3221.06,844.39,1978.39,219.06,5403.72,2147.89,1901.06,3309.39,908.39,3045.06,2276.39,1535.06,3416.39
Peptide_009,2552.22,2094.56,4019.56,2508.56,1459.89,1774.56,1560.89,3709.56,5598.89,6166.89,2712.89,5665.56,3627.22,1334.89,5903.22,3334.89,3394.56,2532.22,3542.89,1190.56,2362.22,351.22,2386.89,2438.22,1496.89,2675.89,1305.22,3388.56,3955.22,7278.06,2988.56
Peptide_010,2018.94,1330.61,2368.28,2038.94,976.61,1365.28,1029.61,3913.28,3695.28,3331.28,1871.61,4007.94,1249.61,484.94,1611.28,1451.61,2368.28,1913.94,3036.28,612.61,1323.61,209.61,1748.94,1474.61,1283.61,2232.94,773.61,1819.28,1787.28,672.28,1551.61
Peptide_011,1516.00,1509.33,2534.33,1754.33,970.00,1521.67,888.33,2875.00,3589.67,2999.33,1698.67,3637.00,1257.33,495.00,2070.00,1524.33,2610.00,1907.67,2156.00,666.67,1423.67,237.33,1058.67,1725.33,933.00,1604.00,904.00,1824.67,2329.67,447.00,1604.67
Peptide_012,2086.28,1317.28,3241.28,2185.94,998.61,1614.61,1139.28,3448.61,4080.61,4253.61,2143.94,3712.28,1129.28,501.61,1730.28,1494.28,2956.61,2023.28,3760.28,629.28,1386.94,251.28,1794.28,1265.61,1278.28,2855.28,884.94,1728.28,2417.94,563.61,1312.61
Peptide_013,1581.28,1240.28,2070.61,1630.94,829.28,1244.28,1075.94,3038.94,3684.61,3617.28,1708.94,3473.28,1156.28,455.94,1879.61,1331.61,1999.61,1391.61,1944.61,559.28,1271.61,238.94,1822.61,1590.28,1341.94,1816.28,801.28,1608.28,883.61,754.61,1432.28
Peptide_014,5159.61,4632.28,6824.61,3920.61,2341.61,6206.61,2822.61,8424.94,16389.28,12804.28,6110.61,10763.94,9037.94,2548.28,15632.94,7436.94,5756.61,4977.94,4286.28,1907.28,4488.61,731.61,2899.94,3577.44,2602.28,4462.94,2642.28,7765.28,7637.94,10447.61,6400.28
Peptide_015,3322.11,3455.78,7177.78,3728.44,2219.44,2050.44,2062.78,3673.11,7689.78,6747.44,3737.44,7806.44,3285.11,1136.11,2921.11,3438.78,7768.11,4717.11,6180.78,1131.44,3177.44,307.11,1609.44,2585.94,1816.44,5763.44,1755.44,2971.78,4405.11,1790.11,2782.11
Peptide_016,1818.22,2011.22,3583.89,1937.22,1237.22,6716.56,1303.56,5620.56,8428.89,3762.89,2184.56,5215.89,2330.22,993.89,4269.56,2616.22,3457.56,2323.56,2666.22,851.22,1677.89,446.56,1991.22,2019.06,1116.56,1984.22,1250.22,2558.56,4683.56,1302.89,2766.56
Peptide_017,1694.89,1757.56,3541.89,2134.56,1432.56,2788.22,1299.22,3715.22,5597.56,4300.89,2206.22,4739.89,2725.22,1008.89,3274.89,2786.89,3347.56,2251.22,2545.22,876.22,1891.56,307.89,1354.89,1625.89,1247.22,2018.22,1325.22,2582.89,3641.89,1067.56,2750.89
Peptide_018,2116.33,2300.00,4222.33,2121.00,1575.33,3154.00,1569.67,3800.67,6076.33,5266.33,2829.33,5691.00,2710.00,994.00,4642.33,2870.00,4146.67,2823.00,3013.33,903.00,1946.67,460.33,1708.67,3023.33,1337.00,2237.00,1556.33,2716.33,3955.00,1795.33,3694.33
Peptide_019,1773.22,1976.22,3544.56,2060.22,1368.56,2685.56,1193.56,3553.89,5836.22,4405.56,2275.89,4733.89,2878.89,1101.22,3806.06,2867.89,3473.89,2352.56,2665.22,990.89,1893.56,269.56,1196.56,2855.89,1194.89,1937.56,1323.22,2426.06,4148.89,1375.56,3257.89
Peptide_020,2845.56,2791.89,4418.56,2371.56,1528.89,3816.56,1880.56,4710.89,7454.89,8170.22,3303.89,6422.22,4350.22,1292.89,7329.56,3388.89,4167.22,2668.89,2932.56,1214.22,2873.22,374.22,2552.89,2744.89,1624.22,2345.89,1463.56,3833.56,4943.89,2522.22,4688.89
Peptide_021,2497.33,2869.33,3463.67,1643.67,922.00,4615.33,1591.33,8434.33,10307.00,5859.33,2276.33,4265.33,1885.33,858.00,3804.00,3014.33,2365.00,2334.33,1959.67,861.33,1862.00,358.33,1625.33,1953.00,1154.00,1294.33,1231.00,2570.33,2676.67,1674.00,1916.00
Peptide_022,790.28,411.61,782.28,517.28,301.11,574.28,629.94,1831.28,1382.94,2043.94,887.28,2293.61,474.94,161.11,3695.28,689.94,666.61,653.94,1738.28,363.28,644.61,147.61,630.28,501.94,704.61,1410.28,346.28,811.61,1101.94,238.28,403.28
Peptide_023,1558.44,1292.11,2891.11,1833.11,1111.11,1383.11,1058.78,2856.78,4455.11,3817.11,2087.44,3812.44,1648.11,644.44,1941.11,1846.44,2810.44,2040.44,2792.44,754.11,1468.11,231.78,1106.11,1682.78,1084.44,2103.78,936.78,2341.11,2336.11,699.44,1594.78
Peptide_024,2940.86,3667.86,3494.86,2802.86,1351.19,4839.19,801.86,9764.86,10994.86,7435.19,2582.86,7424.19,5461.53,1369.53,3759.36,2063.19,5395.53,2827.86,2428.53,1356.19,3966.53,485.53,1912.86,2590.19,1941.19,2650.53,1761.19,5035.53,5483.19,5083.86,7929.53
Peptide_025,3071.83,2598.17,4102.17,2628.17,1424.17,4485.50,1796.83,5602.50,8483.17,6944.17,3482.17,8120.17,3760.83,1132.50,7860.83,3130.17,4378.50,2453.50,2110.83,1174.50,3815.83,319.50,1713.17,1990.33,1851.83,2677.17,1815.17,3340.83,2432.83,1248.83,4785.50
