Group,002-00001 v3,002-00005 v3,002-00007 v3,002-00014 v3,002-00031 v3,002-00036 v3,002-00037 v3,002-00040 v3,004-00003 v2,004-00006 v3,004-00008 v3,004-00009 v3,004-00016 v3,004-00017 v2,004-00024 v3,004-00025 v3,002-00003 v3,002-00008 v3,002-00012 v3,002-00016 v3,002-00018 v3,002-00021 v4,002-00022 v4,002-00024 v2,002-00028 v4,002-00029 v3,002-00035 v3,004-00012 v2,004-00022 v3,004-00028 v2,004-00030 v2,,,,,,,,,,,,,
1,2290.339333,1961.096,3354.018,2208.294667,1256.407333,2874.252,1410.606667,4177.873333,6100.808,4995.495333,2393.451333,4779.873333,2544.273333,880.7626667,3929.252,2453.518,3323.718,2317.495333,2851.696667,840.142,1961.116667,311.2733333,2044.872667,1917.517333,1384.051333,2542.406667,1217.117333,2786.076,3006.828667,2119.929333,2609.208,,,,,,,,,,,,,
2,2723.036,2691.392,4511.438667,2403.192667,1439.137333,3760.615333,1550.548667,5283.481333,7823.148,6332.281333,3047.57,7004.858,3617.058667,1111.826,5821.648667,2865.902667,4323.304,2640.036667,3056.992,1116.658667,2907.038,395.882,1708.437333,2570.048,1743.036667,2818.326,1622.77,3214.894,4058.659333,1882.104,4409.749333,,,,,,,,,,,,,
3,3487.169333,3339.568667,5053.79,2582.924,1484.946,7048.590667,2082.324,8332.369333,13800.19067,9244.813333,3782.812,8546.703333,5873.588667,1355.168,11382.45733,4160.813333,4857.968,2832.636,2915.657333,969.236,3596.102,321.2126667,2434.100667,3188.178667,1750.634667,2782.237333,1887.300667,4688.968667,5843.079333,3910.367333,6165.657333,,,,,,,,,,,,,
4,3055.038,3147.459333,4773.948667,2519.992667,1446.037333,6075.615333,1776.348667,7221.905333,13785.50467,13947.30467,3479.993333,7113.681333,4775.481333,1319.526,8732.437333,4068.948,4318.215333,2878.393333,3033.481333,992.5146667,3156.171333,320.6593333,2237.437333,2817.081333,1769.592667,2686.836667,1658.614667,4078.658667,5457.114,3426.216,4630.281333,,,,,,,,,,,,,
5,3077.648667,3149.248,4801.980667,2846.226,1773.204,4878.781333,1863.404667,5812.315333,10148.248,6273.758667,3009.092,6379.716667,4907.758667,1984.848,7275.58,3948.668667,4515.392667,2690.868667,3171.158667,1117.359333,3239.359333,402.1586667,1939.936,3063.858667,1759.003333,2820.546667,1706.892,4052.092,5578.936667,4069.848667,5378.426,,,,,,,,,,,,,
6,2417.517333,2640.205333,3696.473333,2268.54,5192.892667,4253.961333,1608.672667,5246.606,8946.782667,5733.427333,2862.962,6152.517333,4401.982667,1177.583333,6802.651333,3160.471333,3886.850667,2518.516,2690.295333,1032.584,2704.894667,345.5386667,1532.138667,2341.039333,1461.583333,2575.716667,1548.405333,3322.916667,5237.894667,2446.851333,4116.094,,,,,,,,,,,,,
7,2001.797333,2046.464,3244.373333,1956.175333,1290.596667,2398.396667,1178.052,3574.907333,5355.064667,4966.818,2415.774667,5532.842667,3369.307333,942.796,5339.262,2431.285333,3191.374,1944.263333,2891.063333,857.708,2014.084667,310.3073333,1432.086667,1853.164,1412.551333,2074.797333,1194.662667,2865.884667,4391.974667,1816.573333,3909.197333,,,,,,,,,,,,,
8,2243.332,2444.643333,3338.330667,2102.354,1301.842667,3792.51,1442.431333,5631.642667,7374.109333,5009.265333,2396.799333,5343.909333,3835.130667,1012.042667,5787.307333,2657.531333,3689.309333,2153.266,2465.487333,905.8866667,2446.998667,355.0646667,1647.488,2434.766,1354.844,2060.887333,1412.752667,2923.399333,4916.410667,4320.532,3841.420667,,,,,,,,,,,,,
9,2332.030667,2385.832,3320.566,3146.275333,2013.009333,4526.519333,1451.610667,5988.252667,8269.566,5208.342667,2449.540667,5625.454,3361.853333,985.92,5335.878,2639.765333,3493.142,2088.764667,2314.786,913.0546667,2412.876667,357.1873333,1571.3,2315.043333,1407.964667,2003.676667,1366.032,2752.987333,4384.554,2784.876667,3693.008667,,,,,,,,,,,,,
10,2207.593333,2135.858667,3260.658,2181.303333,1392.17,2789.992,1376.125333,4292.971333,5933.326667,4815.924667,2412.326,5399.548667,3252.459333,977.904,4775.326,2663.480667,3651.192667,2179.836667,2566.882,924.3266667,2299.703333,436.4373333,1464.527333,2256.292,1404.482,2318.014667,1297.814,7247.57,4210.392,1654.57,3931.414667,,,,,,,,,,,,,
11,2482.784667,2562.984,3439.674,2261.518667,1510.252667,4004.341333,1568.44,5158.674667,8093.697333,5823.962667,2690.14,6382.964667,4076.452,1162.472667,6213.674667,3060.384,4026.096,2331.873333,2519.874,1033.23,2710.696,344.7186667,1641.185333,2611.564,1461.608,2508.496667,1494.940667,3385.208,5251.252667,2197.318,4311.874667,,,,,,,,,,,,,
12,2305.732667,2177.799333,3679.689333,2238.467333,1481.022667,3318.29,1480.534,4797.711333,8421.466667,5991.266,2970.644,6176.666667,3710.289333,1049.533333,5137.823333,2961.532,3579.222667,2412.266,2842.733333,1016.777333,2497.199333,331.4886667,1634.378,2104.467333,1426.045333,2483.022667,1394.222,3180.156,4652.334667,1930.956667,3369.822667,,,,,,,,,,,,,
13,2630.045333,2652.624667,3884.09,2433.644667,1486.534,7492.400667,1933.778667,9283.334,13877.93267,5571.711333,2561.268667,6093.977333,4560,1106.557333,6505.800667,3255.512,4353.356,2337.267333,2164.400667,799,2893.066667,257.7113333,1367.134667,2596.189333,1263.623333,2222.8,1531.376667,3370.356667,5231.867333,2399.600667,4287.955333,,,,,,,,,,,,,
14,1999.458,1570.835333,3168.834667,2152.523333,2317.614,1629.168667,2070.534667,3006.39,4726.745333,4254.368,13624.61267,5110.990667,2758.258,928.102,2807.636,3344.212667,3473.812667,2121.236,3479.879333,1251.678667,3507.613333,265.7906667,1250.724,2016.302,1191.879333,2015.924,2692.524667,2417.234667,3806.946,1108.057333,2607.368,,,,,,,,,,,,,
15,8775.175714,3117.081429,7720.198571,9038.152857,9133.461429,5297.960714,12156.65214,9395.794286,11103.795,12656.105,3031.009286,6038.962143,4838.225714,1951.867143,14927.105,9145.795,5751.985714,3278.747143,13642.05643,4698.747857,9135.818571,597.6292857,4732.009286,4476.877857,3935.866429,2822.2,11302.76,4187.342857,5328.128571,3353.771429,3531.270714,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,
,2290.339333,2723.036,3487.169333,3055.038,3077.648667,2417.517333,2001.797333,2243.332,2332.030667,2207.593333,2482.784667,2305.732667,2630.045333,1999.458,8775.175714,,3323.718,4323.304,4857.968,4318.215333,4515.392667,3886.850667,3191.374,3689.309333,3493.142,3651.192667,4026.096,3579.222667,4353.356,3473.812667,5751.985714,,,,,,,,,,,,,
,1961.096,2691.392,3339.568667,3147.459333,3149.248,2640.205333,2046.464,2444.643333,2385.832,2135.858667,2562.984,2177.799333,2652.624667,1570.835333,3117.081429,,2317.495333,2640.036667,2832.636,2878.393333,2690.868667,2518.516,1944.263333,2153.266,2088.764667,2179.836667,2331.873333,2412.266,2337.267333,2121.236,3278.747143,,,,,,,,,,,,,
,3354.018,4511.438667,5053.79,4773.948667,4801.980667,3696.473333,3244.373333,3338.330667,3320.566,3260.658,3439.674,3679.689333,3884.09,3168.834667,7720.198571,,2851.696667,3056.992,2915.657333,3033.481333,3171.158667,2690.295333,2891.063333,2465.487333,2314.786,2566.882,2519.874,2842.733333,2164.400667,3479.879333,13642.05643,,,,,,,,,,,,,
,2208.294667,2403.192667,2582.924,2519.992667,2846.226,2268.54,1956.175333,2102.354,3146.275333,2181.303333,2261.518667,2238.467333,2433.644667,2152.523333,9038.152857,,840.142,1116.658667,969.236,992.5146667,1117.359333,1032.584,857.708,905.8866667,913.0546667,924.3266667,1033.23,1016.777333,799,1251.678667,4698.747857,,,,,,,,,,,,,
